step,mean_bleu,std_bleu,mean_bertscore,std_bertscore,mean_sembscore,std_sembscore,mean_radgraphcombined,std_radgraphcombined,mean_cxrmetric,std_cxrmetric
100,0.02097948606648645,0.0361880708013379,0.20099647370826249,0.1523607765729369,0.15944976029145824,0.18056940550486636,0.04725104417378577,0.06521388383993229,3.3197049276155526,0.15551979399651994
200,0.06905686619988038,0.07563747062024402,0.2250914586485044,0.1596265002329413,0.17098942687534285,0.18685520203160355,0.06378944210398518,0.08245032677419345,3.2019457655114447,0.2641701882260935
300,0.08160264934735899,0.08284740594400286,0.2324832935233871,0.19962578564362343,0.20134978483340274,0.18882301282174724,0.07794359573144219,0.08461892102574474,3.1540176204957535,0.2802026913441782
400,0.0681751495398019,0.07518547625730639,0.20676248996594576,0.2008557750055435,0.19092483854101613,0.18503462635669965,0.07154945227469894,0.07923934616942198,3.1900096845377495,0.2566601966537374
500,0.05200782663525603,0.06806039420996969,0.22625512928078081,0.1797800294123858,0.18914435410223582,0.1865247927350679,0.06197813449021563,0.07561015660891075,3.2366191072509047,0.2326413763828848
600,0.06807074030645462,0.0729777280504073,0.2311532334083834,0.18638981825401252,0.1984782329686676,0.19644709590391687,0.0714130469118844,0.08063824258610536,3.190441089089068,0.25280360476818886
700,0.06228775140515272,0.06449353700692059,0.25911533178826984,0.14955907991367637,0.20695041851113447,0.1927756774080319,0.07270280378989642,0.0761027726865095,3.1988734961351644,0.22752432683354404
800,0.05875191723168674,0.06790096611953635,0.2680672164641129,0.1538816496792284,0.19814706997450202,0.1892197756081967,0.07927344682015584,0.08411261988126523,3.1939214421701783,0.24782657870624672
900,0.08905752123245908,0.07556211932902152,0.28759355934739,0.13853729059525144,0.2042911622649501,0.19076590949325925,0.08580028419527991,0.0799476952781715,3.1265063637315555,0.2517018245588529
1000,0.04147369819698302,0.06129001221185954,0.11624387748367668,0.20562430345625735,0.19118935936551779,0.1808953224144419,0.04458723138204374,0.0675968790399981,3.286487937373611,0.21473401309343057
1100,0.06683232194450167,0.07543449712385507,0.22198594287023718,0.18762950416328378,0.202143284155991,0.1855493669644579,0.06821850222118231,0.08226284543895424,3.198314189752873,0.2608184915126997
1200,0.05946508876838566,0.06644340586580638,0.2231563675167522,0.169991867234842,0.20697149079067542,0.18716652996736405,0.06456567868481385,0.07441966413986899,3.2183145845124286,0.22727613659407023
1300,0.06985053836496173,0.07348048425194637,0.2196469242384824,0.17308313619942184,0.20718745475995204,0.19319800333980702,0.07015826425555155,0.07573127886199703,3.189345513120834,0.24592898359992726
1400,0.05466920532013242,0.07165739248378938,0.16259186171202344,0.21555722444307593,0.19790245744436022,0.1873533879271119,0.05661358709103737,0.07460781196144121,3.2410787586706173,0.2419213836873462
1500,0.06004809502204899,0.07172918046773967,0.2020225730909714,0.19205138857340245,0.20206270430755782,0.18761148937972175,0.06654063947811041,0.07879607689428308,3.2137846892031474,0.24779214406330285
1600,0.043422492648652,0.06509206506793593,0.0876860959808651,0.2303053130804244,0.1893186459924503,0.1880129612555286,0.0446323328170433,0.06970722204976196,3.282807686062155,0.22406232335728948
1700,0.06917933618513589,0.07653347164954363,0.23336143952488267,0.16508808928158883,0.2004468356068744,0.18994295189770607,0.06843502742761128,0.08194045119699603,3.193598349815017,0.26374814948997716
